Portfolio Return,Portfolio Risk,Sharpe Ratio,Weights,Fund Distribution
0.3053528509068111,0.32923511071200484,0.9274613823733868,[0.         0.19288997 0.         0.         0.304674   0.50243603],[    0.  9644.     0.     0. 15233. 25121.]
0.3061939997475932,0.3362264772066085,0.9106778332612974,[0.         0.16390268 0.         0.         0.29445267 0.54164466],[    0.  8195.     0.     0. 14722. 27082.]
0.3148070342265151,0.3319754748791749,0.9482840090554631,[0.         0.41663545 0.         0.         0.1182374  0.46512715],[    0. 20831.     0.     0.  5911. 23256.]
0.3174882088131041,0.38293400971679126,0.8290937883733823,[0.         0.14464334 0.         0.         0.10904039 0.74631628],[    0.  7232.     0.     0.  5452. 37315.]
0.31105738786636766,0.32077051352790353,0.9697193936103764,[0.         0.47432186 0.         0.         0.17311538 0.35256275],[    0. 23716.     0.     0.  8655. 17628.]
0.30250479380107254,0.3108542848390585,0.9731401771015997,[0.         0.31073117 0.         0.         0.33671851 0.35255032],[    0. 15536.     0.     0. 16835. 17627.]
0.29960830588597925,0.3059964407088077,0.979123499580482,[0.         0.38196993 0.         0.         0.37563658 0.24239349],[    0. 19098.     0.     0. 18781. 12119.]
0.2943658964447093,0.30848688464755325,0.9542249965700252,[0.         0.43185824 0.         0.         0.45636739 0.11177437],[    0. 21592.     0.     0. 22818.  5588.]
0.31232598338793377,0.32510566220016507,0.9606906913717087,[0.         0.58284564 0.         0.         0.13787768 0.27927668],[    0. 29142.     0.     0.  6893. 13963.]
0.30065818394122373,0.3151033438442669,0.9541573893605445,[0.         0.53427686 0.         0.         0.33833736 0.12738578],[    0. 26713.     0.     0. 16916.  6369.]
0.3215121768888327,0.34916048874439115,0.9208148895799064,[0.         0.46788782 0.         0.         0.         0.53211218],[    0. 23394.     0.     0.     0. 26605.]
0.3000770410379433,0.3119309012620785,0.9619984420390084,[0.         0.2376985  0.         0.         0.38662195 0.37567956],[    0. 11884.     0.     0. 19331. 18783.]
0.29145853380137926,0.3093149343343806,0.9422711335570434,[0.         0.13584836 0.         0.         0.54328301 0.32086863],[    0.  6792.     0.     0. 27164. 16043.]
0.31787353281718855,0.4207502523348795,0.7554921976949635,[0.         0.         0.         0.         0.12146202 0.87853798],[    0.     0.     0.     0.  6073. 43926.]
0.31616336340067713,0.34653020956845165,0.9123688344355558,[0.         0.317238   0.         0.         0.10861175 0.57415025],[    0. 15861.     0.     0.  5430. 28707.]
